"Dirigir veículo sem possuir CNH","880.41",7
"Dirigir veículo com CNH cassada","1467.35",7
"Dirigir com CNH de categoria errada","880.41",7
"Dirigir com CNH vencida + 30 dias","293.47",7
"Dirigir sem usar lentes corretoras de visão","293.47",7
"Dirigir sob influência de álcool","2934.70",7
"Recusar o teste do bafômetro","2934.70",7
"Entregar direção a pessoa habilitada sem condições de dirigir","293.47",7
"Deixar o condutor ou passageiro de usar o cinto de segurança","195.23",5
"Transportar crianças de forma irregular","293.47",7
"Dirigir sem atenção ou sem os cuidados indispensáveis à segurança","88.38",3
"Dirigir ameaçando os pedestres ou os demais veículos","2934.70",7
"Jogar água sobre os pedestres ou veículos","130.16",4
"Atirar do veículo ou abandonar na vi a objetos ou substâncias","130.16",4
"Disputar corrida","2934.70",7
"Realizar manobra perigosa","2934.70",7
"Condutor envolvido em acidente que deixar de prestar socorro","1467.35",7
"Condutor envolvido em acidente não adotar medida de segurança no local","1467.35",7
"Condutor envolvido em acidente não facilitar o trabalho da perícia","1467.35",7
"Condutor envolvido em acidente se recusar a mover o veículo do local","1467.35",7
"Condutor envolvido em acidente não prestar informações para o B.O","1467.35",7
"Deixar de prestar socorro à vítima de acidente quando solicitado","195.23",5
"Deixar o condutor, envolvido em acidente sem vítima, de remover o veículo","130.16",4
"Reparar veículo na faixa de rolamento quando for possível a remoção","195.23",5
"Reparar veículo nas demais vias quando for possível a remoção","130.16",4
"Ter seu veículo imobilizado na via por falta de combustível","130.16",4
"Estacionar o veículo nas esquinas","130.16",4
"Estacionar veículo afastado da guia da calçada (50cm-1m)","88.38",3
"Estacionar veículo afastado da guia da calçada (+1m)","195.23",5
"Estacionar veículo em desacordo com o CTB","130.16",4
"Estacionar veículo na pista","293.47",7
"Estacionar veículo sobre hidrantes de incêndio","130.16",4
"Estacionar veículo nos acostamentos","195.23",5
"Estacionar veículo no passeio, faixa de pedestre, ciclovia ou ciclofaixa","195.23",5
"Estacionar veículo em garagem","130.16",4
"Estacionar veículo impedindo a movimentação de outro veículo","130.16",4
"Estacionar veículo em fila dupla","195.23",5
"Estacionar o veículo em cruzamento","195.23",5
"Estacionar o veículo em parada de ônibus","130.16",4
"Estacionar o veículo nos viadutos, pontes e túneis","195.23",5
"Estacionar o veículo na contramão de direção","130.16",4
"Estacionar o veículo pesado em aclive ou declive sem calço","195.23",5
"Estacionar o veículo em desacordo com a sinalização","195.23",5
"Estacionar o veículo em locais proibidos (placa: Proibido Estacionar) ","130.16",4
"Estacionar o veículo em locais proibidos (placa: Proibido Parar e Estacionar) ","195.23",5
"Parar veículo nas esquinas","88.38",3
"Parar veículo afastado da guia da calçada (50cm-1m)","88.38",3
"Parar veículo afastado da guia da calçada (+1m)","130.16",5
"Parar veículo em desacordo com o CTB","88.38",3
"Parar veículo na pista","195.23",5
"Parar veículo na faixa de pedestre","88.38",3
"Parar veículo na área de cruzamento","130.16",5
"Parar veículo nos viadutos, pontes e túneis","130.16",5
"Parar veículo na contramão de direção","130.16",5
"Parar veículo em locais públicos (placa - Proibido Parar)","130.16",5
"Parar veículo sobre a faixa de pedestres na mudança de sinal","130.16",3
"Transitar na faixa direita, exclusiva para um tipo de veículo","88.38",3
"Transitar na faixa esquerda, exclusiva para um tipo de veículo","293.47",7
"Deixar de conservar o veículo na faixa correta","130.16",4
"Deixar de conservar o veículo na faixa da direita","130.16",4
"Transitar pela contramão em via de mão dupla, salva ultrapassagem","195.23",5
"Transitar pela contramão em via de sentido único","293.47",7
"Transitar em locais e horários não permitidos","130.16",4
"Transitar ao lado de outro veículo perturbando o trânsito","130.16",4
"Deixar de dar passagem para veículo em serviço de urgência","293.47",7
"Seguir veículo em serviço de urgência","195.23",5
"Forçar passagem entre veículos","2934.70",7
"Deixa de guardar distância de segurança","195.23",5
"Transitar com o veículo em local proibido (calçadas, ciclovias etc)","880.41",7
"Transitar em marcha ré, salvo para pequenas manobras sesguras","195.23",5
"Desobedecer às ordens de autoridade competente de trânsito","195.23",5
"Deixar de sinalizar a parada do veículo ou mudança de direção","195.23",5
"Não mudar de pista com antecedência para dobrar","130.16",4
"Deixar de dar passagem pela esquerda, quando solicitado","130.16",4
"Ultrapassar pela direita","130.16",4
"Ultrapassar pela direita veículo de transporte coletivo parado para embarque","293.47",7
