ID;IDMARCA;NOME
1;25;INTEGRA
2;25;LEGEND
4;27;MARRUA
12;28;SPIDER
13;156;HUMMER
14;16;AM-825
15;16;HI-TOPIC
16;16;ROCSTA
18;16;TOWNER
23;32;A4 SEDAN
24;32;A5 COUPE
25;32;A6 SEDAN
39;32;S4 SEDAN
40;32;S6 SEDAN
87;155;DEVILLE
88;155;ELDORADO
89;155;SEVILLE
90;42;JAVALI
92;6;MINI STAR FAMILY
93;6;MINI STAR UTILITY
101;19;CARAVAN
102;19;CIRRUS
103;19;GRAN CARAVAN
104;19;LE BARON
106;19;PT CRUISER
107;19;SEBRING
108;19;STRATUS
109;19;TOWN E COUNTRY
110;19;VISION
111;5;AIRCROSS
113;5;BERLINGO
121;5;EVASION
122;5;JUMPER
123;5;XANTIA
127;50;CL-244
128;50;CL-330
129;51;ESPERO
131;51;LEGANZA
132;51;NUBIRA
133;51;PRINCE
135;51;SUPER SALON
137;52;APPLAUSE
138;52;CHARADE
140;52;FEROZA
141;52;GRAN MOVE
142;52;MOVE VAN
143;52;TERIOS
144;18;AVENGER
145;18;DAKOTA
146;18;JOURNEY
148;18;STEALTH
152;61;PLUTUS
158;63;ENGESA
159;64;CAMPER
160;64;MASTER
168;10;CALIFORNIA
180;3;DUCATO CARGO
183;3;FIORINO
184;3;FREEMONT
185;3;GRAND SIENA
191;3;PANORAMA
192;3;PREMIO
196;3;STRADA
197;3;TEMPRA
201;13;AEROSTAR
202;13;ASPIRE
203;13;BELINA
204;13;CLUB WAGON
205;13;CONTOUR
206;13;CORCEL II
207;13;COURIER
208;13;CROWN VICTORIA
209;13;DEL REY
210;13;ECOSPORT
212;13;ESCORT
213;13;EXPEDITION
214;13;EXPLORER
216;13;F-1000
219;13;FIESTA
221;13;FURGLAINE
222;13;FUSION
225;13;MONDEO
226;13;MUSTANG
229;13;RANGER
230;13;VERSAILLES ROYALE
231;13;TAURUS
232;13;THUNDERBIRD
233;13;TRANSIT
234;13;VERONA
235;13;VERSAILLES
236;13;WINDSTAR
242;1;BLAZER
243;1;BONANZA
247;1;CALIBRA
248;1;CAMARO
249;1;CAPRICE
250;1;CAPTIVA
251;1;CARAVAN
252;1;CAVALIER
256;1;CHEYNNE
258;1;COBALT
262;1;CORVETTE
266;1;IPANEMA
267;1;KADETT
268;1;LUMINA
269;1;MALIBU
271;1;MERIVA
272;1;MONTANA
276;1;PRISMA
280;1;SILVERADO
282;1;SONOMA
283;1;SPACEVAN
285;1;SUBURBAN
287;1;SYCLONE
289;1;TRACKER
290;1;TRAFIC
291;1;VECTRA
292;1;VERANEIO
293;1;ZAFIRA
295;17;BR-800
296;17;CARAJAS
297;17;TOCANTINS
298;17;XAVANTE
300;76;TOWNER
301;7;ACCORD
306;7;ODYSSEY
307;7;PASSPORT
308;7;PRELUDE
309;14;ACCENT
314;14;ELANTRA
316;14;GALLOPER
317;14;GENESIS
324;14;MATRIX
325;14;PORTER
326;14;SANTA FE
327;14;SCOUPE
328;14;SONATA
329;14;TERRACAN
330;14;TRAJET
331;14;TUCSON
332;14;VELOSTER
333;14;VERACRUZ
335;84;HOMBRE
340;86;DAIMLER
341;86;S-TYPE
342;86;X-TYPE
345;86;MODELOS XJ
352;86;MODELOS XK
354;87;CHEROKEE
355;87;COMMANDER
356;87;COMPASS
357;87;GRAND CHEROKEE
358;87;WRANGLER
359;88;TOPIC VAN
360;89;JIPE MONTEZ
361;89;PICAPE MONTEZ
364;16;CADENZA
365;16;CARENS
366;16;CARNIVAL
367;16;CERATO
369;16;CLARUS
370;16;MAGENTIS
371;16;MOHAVE
372;16;OPIRUS
373;16;OPTIMA
374;16;PICANTO
375;16;SEPHIA
377;16;SORENTO
379;16;SPORTAGE
382;94;SAMARA
383;12;GALLARDO
384;12;MURCIELAGO
385;96;DEFENDER
386;96;DISCOVERY
389;96;FREELANDER
391;96;NEW RANGE
392;96;RANGE ROVER
397;97;IS-300
407;101;ESPRIT
408;102;SCORPIO
414;104;GHIBLI
415;104;GRANCABRIO
416;104;GRANSPORT
417;104;GRANTURISMO
418;104;QUATTROPORTE
419;104;SHAMAL
420;104;SPIDER
422;106;PICK-UP
426;108;B-2500
428;108;MILLENIA
432;108;NAVAJO
433;108;PROTEGE
467;4;CLASSE A
468;4;CLASSE B
469;4;CLASSE R
498;4;CLASSE GLK
531;4;SPRINTER
532;110;MYSTIQUE
536;113;COOPER
539;111;AIRTREK
542;111;DIAMANT
543;111;ECLIPSE
545;111;GALANT
546;111;GRANDIS
549;111;LANCER
550;111;MIRAGE
551;111;MONTERO
552;111;OUTLANDER
553;111;PAJERO
554;111;SPACE WAGON
555;114;BG-TRUCK
557;43;ALTIMA
560;43;FRONTIER
562;43;KING-CAB
563;43;LIVINA
565;43;MAXIMA
567;43;MURANO
569;43;PATHFINDER
571;43;PRIMERA
573;43;SENTRA
574;43;STANZA
576;43;TERRANO
579;43;X-TRAIL
580;43;XTERRA
602;22;HOGGAR
603;22;PARTNER
605;123;GRAN VOYAGER
606;123;SUNDANCE
607;69;TRANS-AM
608;69;TRANS-SPORT
612;70;BOXSTER
613;70;CAYENNE
614;70;CAYMAN
615;70;PANAMERA
617;24;21 SEDAN
619;24;DUSTER
620;24;EXPRESS
621;24;FLUENCE
622;24;KANGOO
623;24;LAGUNA
625;24;MASTER
626;24;MEGANE
627;24;SAFRANE
628;24;SANDERO
629;24;SCENIC
630;24;SYMBOL
631;24;TRAFIC
632;24;TWINGO
636;130;CORDOBA
641;142;FORTWO
642;21;ACTYON SPORTS
643;21;CHAIRMAN
644;21;ISTANA
645;21;KORANDO
648;21;REXTON
649;8;FORESTER
650;8;IMPREZA
651;8;LEGACY
652;8;OUTBACK
654;8;TRIBECA
656;59;BALENO
657;59;GRAND VITARA
662;59;SUPER CARRY
665;59;VITARA
666;59;WAGON R
668;23;AVALON
669;23;BANDEIRANTE
671;23;CELICA
672;23;COROLLA
673;23;CORONA
675;23;LAND CRUISER
678;23;PREVIA
682;149;PANTANAL
685;53;400 SERIES
688;53;900 SERIES
700;2;AMAROK
701;2;APOLLO
703;2;CARAVELLE
704;2;CORRADO
707;2;EUROVAN
717;2;PARATI
718;2;PASSAT
719;2;POINTER
722;2;SANTANA
723;2;SAVEIRO
725;2;SPACEFOX
726;2;TIGUAN
727;2;TOUAREG
729;2;VOYAGE
755;2;BRASILIA
756;13;BRASILVAN
775;13;CORCEL
803;3;PALIO WEEKEND
806;13;FOCUS SEDAN
807;13;FIESTA SEDAN
808;13;FIESTA TRAIL
810;22;207 SW
811;13;ESCORT SW
812;22;307 SEDAN
813;22;307 SW
815;5;C4 PALLAS
816;5;C4 PICASSO
817;5;C4 VTR
818;24;CLIO SEDAN
819;23;COROLLA FIELDER
824;23;HILUX SW4
825;24;MEGANE GRAND TOUR
827;24;SANDERO STEPWAY
829;5;XSARA PICASSO
1360;131;COLHEITADEIRA
1361;158;PICKUP F75
1365;1;BEL AIR
1373;1;BRASIL
1377;18;POLARA
1383;13;FALCON
1384;13;GALAXIE
1386;13;MAVERICK
1387;13;MODELO A
1388;13;NEW FIESTA
1389;82;LINHA FX
1395;14;TIBURON
1404;4;CLASSE CLC
1405;4;CLASSE CLS
1408;110;MONTEREY
1411;114;TOPSPORT
1421;115;AUSTIN
1426;175;CONVERSÍVEL
1427;17;SUPERMINI
1429;3;TOPOLINO
1432;2;VARIANT
1454;57;CANDANGO
1466;258;RECORB
1467;2;POLAUTO
1508;24;GORDINI
1982;36;SERIE Z
1983;4;CLASSE SLK
1984;4;CLASSE C
1985;4;CLASSE E
1986;4;CLASSE CL
1987;4;CLASSE CLK
1988;4;CLASSE S
1989;4;CLASSE SL
1990;4;CLASSE SLS
1991;4;CLASSE G
1992;4;CLASSE GL
1993;4;CLASSE M
2067;12;350 GT
2068;12;400 GT
2070;12;ISLERO
2071;12;ESPADA
2072;12;COUNTACH
2073;12;DIABLO
2074;12;ZAGATO
2077;12;REVENTON
2078;12;ANKONIAN
2080;12;AVENTADOR
2081;12;SESTO ELEMENTO
2082;15;J3 TURIN
2084;24;SANDERO GT
2088;1;TRAILBLAZER
2097;5;C3 PICASSO
2098;5;GRAND C4 PICASSO
2099;5;JUMPER MINIBUS
2100;5;JUMPER VETRATO
2101;22;207 SEDAN
2102;22;207 QUIKSILVER
2103;22;207 ESCAPADE
2104;22;308 CC
2105;22;BOXER PASSAGEIRO
2106;13;NEW FIESTA SEDAN
2108;13;TRANSIT PASSAGEIRO
2109;13;TRANSIT CHASSI
2110;32;A4 AVANT
2111;32;S4 AVANT
2112;32;A5 SPORTBACK
2113;32;A5 CABRIOLET
2114;32;S5 COUPE
2115;32;S5 SPORTBACK
2116;32;S5 CABRIOLET
2117;32;A6 AVANT
2118;32;A6 ALLROAD
2119;32;S6 AVANT
2121;32;TT ROADSTER
2123;32;TT RS ROADSTER
2124;32;TTS ROADSTER
2125;32;R8 SPYDER
2127;32;R8 GT SPYDER
2130;10;458 SPIDER
2131;10;458 ITALIA
2135;10;CHALLENGE
2136;10;SUPERAMERICA
2137;10;F430 SPIDER
2139;10;612 SESSANTA
2140;10;599 GTB
2141;10;SCUDERIA SPIDER
2143;10;456 GT
2144;10;348 GTS
2145;10;348 SPIDER
2147;10;F355 SPIDER
2149;10;355 SPIDER
2150;10;360 MODENA
2151;111;PAJERO FULL
2152;111;PAJERO DAKAR
2153;111;PAJERO TR4
2154;111;LANCER SPORTBACK
2155;111;LANCER EVOLUTION
2156;111;L200 TRITON SAVANA
2157;111;L200 TRITON
2159;43;LIVINA X-GEAR
2160;43;GRAND LIVINA
2161;21;NEW ACTYON SPORTS
2165;114;SPIDER
2166;114;KABRIO
2168;114;SAGA II
2171;295;GAIOLA
