ID;IDMARCA;NOME
1452;164;TRAILER
1453;13;F-12000
1461;2;MASCARELLO
1462;2;GRANMICRO
1482;263;ONIBUS
1483;266;GUINDASTE
1511;266;EMPILHADEIRA
1536;1;D-12000
1537;1;D-13000
1538;1;D-14000
1542;1;D-6000
1627;13;F-11000
1629;13;F-13000
1630;13;F-14000
1631;13;F-16000
1632;13;F-19000
1633;13;F-2000
1634;13;F-21000
1635;13;F-22000
1638;13;F-4000
1639;13;F-7000
1640;13;F-MAXX
1641;1;12-170
1642;1;14-190
1643;1;15-190
1644;1;16-220
1651;85;CITYCLASS
1652;85;CURSOR
1661;85;EUROCARGO
1664;85;EUROTECH
1665;85;EUROTRAKKER
1666;85;POWERSTAR
1667;85;STRALIS
1670;85;TECTOR
1671;85;TRAKKER
1672;85;VERTIS
1694;4;1944-S
1709;4;ACCELO
1710;4;ACTROS
1712;4;ATILIS
1717;4;L-1117
1718;4;L-1118
1721;4;L-1313
1722;4;L-1314
1724;4;L-1317
1726;4;L-1319
1730;4;L-1514
1732;4;L-1517
1744;4;L-2014
1745;4;L-2017
1746;4;L-2213
1747;4;L-2214
1748;4;L-2215
1749;4;L-2216
1750;4;L-2217
1752;4;L-2220
1753;4;L-2225
1754;4;L-2314
1755;4;L-2318
1756;4;L-2325
1771;4;LS-1632
1780;4;LS-1941
1783;275;DURASTAR
1784;275;INTERNATIONAL
1840;2;11-130
1841;2;11-140
1842;2;12-170
1843;2;12-180
1844;2;13-130
1845;2;13-150
1846;2;13-170
1849;2;14-140
1850;2;14-150
1851;2;14-170
1852;2;14-180
1853;2;14-200
1854;2;14-210
1855;2;14-220
1856;2;15-170
1859;2;16-170
1860;2;16-200
1861;2;16-210
1862;2;16-220
1863;2;16-300
1864;2;17-180
1866;2;17-210
1867;2;17-220
1869;2;17-280
1870;2;17-300
1871;2;17-310
1873;2;17-330
1874;2;18-310
1876;2;19-330
1878;2;19-390
1879;2;22-140
1880;2;22-160
1881;2;22-210
1882;2;23-210
1883;2;23-220
1884;2;23-250
1885;2;23-310
1886;2;24-220
1888;2;24-280
1890;2;24-330
1893;2;25-390
1894;2;26-220
1896;2;26-280
1897;2;26-300
1898;2;26-310
1900;2;26-390
1902;2;31-280
1903;2;31-310
1905;2;31-330
1907;2;31-390
1908;2;35-300
1909;2;40-300
1925;53;FH SERIES
1926;53;FH GLOBETROTTER SERIES
1938;53;FM SERIES
1944;53;FMX SERIES
1951;53;N SERIES
1953;53;NH SERIES
1954;53;NL SERIES
1956;53;VM SERIES
1994;2;11-160
1995;2;12-140
1996;2;17-230
1997;2;24-230
1998;2;28-440
1999;2;29-440
2000;2;31-440
2001;2;33-440
2002;2;16-180
2003;2;17-240
2004;2;17-260
2005;2;18-320
2006;2;18-330
2007;2;15-210
2021;284;BI-TREM
2022;285;BITREM
2024;1;D-1200
2025;13;F-3500
2033;1;MARTA-ROCHA
2062;270;MOTOR-HOME
2064;292;PA CARREGADEIRA
2085;263;MICRO-ONIBUS
2355;242;LK-140
2359;242;BR-115
2363;242;BR-116
2577;2;CONSTELLATION
2578;2;DELIVERY
2579;2;WORKER
2712;266;ESCAVADEIRA
2714;266;GUINCHO
2715;266;CARREGADEIRA
2723;266;MOTONIVELADORA
2889;266;TANQUE
2892;266;POLIGUINDASTE
2894;13;F-8000
2900;266;PERFURATRIZ
2930;1;D-11000
2971;53;FL SERIES
