ID;IDMARCA;NOME
765;7;CB 600 HORNET
766;7;CBR 1000F
767;7;FIREBLADE CBR
768;7;CBR 450
769;7;CBR 600
771;7;TWISTER CBX 250
772;7;CBX 750F
773;7;CG FAN
774;7;CG TITAN
777;135;CRYPTON T115
779;59;V-STROM DL
780;135;DT 200
781;27;ELEFANTRE
783;140;FUTURE
785;136;GR 500
786;136;GRI 50
788;59;GSX-R GIXXER/SRAD
791;135;FAZER YS250
792;135;FACTOR YBR125
796;135;YZF R1
800;135;VIRAGO 250
835;27;ELEFANT
837;27;JUNIOR
839;27;SUPER CITY
842;177;AME-110
843;177;AME-150
844;177;AME-250
845;177;AME-LX
846;178;AREA-51
847;178;CLASSIC
848;178;LEONARDO
850;178;PEGASO
853;178;RSV MILLE
855;178;SCARABEO
859;178;SR RACING
860;178;SR WWW
861;179;CALIFFONE
862;179;MASTER
863;179;SKEGIA
864;180;CHAMPION
865;180;CLASSIC
877;183;MANTRA
882;36;G650GS
891;36;S1000RR
892;184;ELEGANT
896;184;ZANELLA
898;186;CAN-AM
902;187;FIREBOLT
904;187;LIGHTNING
905;187;ULYSSES
908;190;CANYON
909;190;ELEFANT
910;190;GRAN CANYON
912;190;NAVIGATOR
913;190;PLANET
914;190;ROADSTER
915;190;V-RAPTOR
917;191;MOBILETE
919;192;ALTINO
920;192;MESSAGE
926;193;APACHE
927;193;CITYCOM
928;193;KANSAS
932;193;ROADWIN
937;194;DY100-31
938;194;DY110-20
939;194;DY125-18
940;194;DY125-36A
941;194;DY125-37
942;194;DY125-5
943;194;DY125-52
944;194;DY150-12
946;195;SUMMER
947;195;DY125-8
949;195;PHANTON
951;195;DY150GY
952;195;CARGO 150
953;195;CARGO 200
954;195;DY250-2
955;196;ATLANTIS
957;196;PREDATOR
958;196;RED BULLET
959;196;REPLICAS
969;197;DESMOSEDICI
970;197;DIAVEL
971;197;HYPERMOTARD
972;197;MONSTER
973;197;MULTISTRADA
974;197;SPORTCLASSIC
978;197;STREETFIGHTER
979;198;MIRAGE
981;198;ONE RACING
984;200;FY100-10A
985;200;FY125-19
986;200;FY125-20
987;200;FY125EY-2
988;200;FY125Y-3
989;200;FY150-3
990;200;FY150T-18
992;136;GR08T4
993;136;GR 125S/ST
995;136;GR125T3
996;136;GR125U
997;136;GR 125Z
998;136;GR 150P/PI
1000;136;GR150ST
1001;136;GR150T3
1002;136;GR150TI
1003;136;GR150U
1004;136;GR250T3
1005;201;ENDUCROSS
1006;201;ROOKIE ENDURO
1009;201;PAMPERA
1010;201;TX BOY
1012;201;TXT ROOKIE
1014;202;RUNNER
1015;202;SAFARI
1018;203;HB-110
1019;203;HB-125
1020;203;HB-150
1022;204;SOFTAIL
1026;204;TOURING ROAD KING
1027;204;TOURING ELECTRA GLIDE
1041;205;LEGION
1044;206;STREAM
1045;7;AMERICA
1047;7;CB 1000R
1048;7;CB 1300
1049;7;SUPERBLACKBIRD CBR 1100XX
1050;7;CBR 250
1052;7;AERO CBX 150
1053;7;STRADA CBX 200
1054;7;CH 125R
1061;7;GL GOLD WING
1063;7;MAGNA VF 750C
1064;7;NX 200/250
1066;7;NX 350 SAHARA
1067;7;NX 400 FALCON
1069;7;NXR BROS
1070;7;POP 100
1074;7;SUPER HAWK
1077;7;VALKYRIE
1078;7;VFR 1200
1084;7;VARADERO XL 1000V
1086;7;XL 700V TRANSALP
1089;7;VLR 350
1092;7;TORNADO XR 250
1094;7;XRE 300
1106;209;ACTION
1108;209;MATRIX
1109;209;MOVING
1111;209;VINTAGE
1112;209;WARRIOR
1115;211;BARHOG
1116;211;PROSTREET
1117;211;SPYDER
1118;212;ATLANTIC
1122;212;PEGASUS
1130;133;COMET GT 650
1131;133;COMET GT-R 650
1132;133;CRUISE
1141;133;MIRAGE
1142;133;MOTOKAR
1147;133;SUPER CAB
1151;170;AVAJET
1152;170;CONCOURS
1153;170;D-TRACKER
1156;170;KLX 110/140
1157;170;KX 100/125
1160;170;NINJA 250
1161;170;VERSYS
1162;170;VOYAGER
1163;170;VULCAN
1169;214;PEOPLE
1186;216;MOTO TRUCK
1187;217;QUATTOR
1188;218;FORMIGAO
1191;219;DE LUXE
1192;219;E RETRO
1194;220;TRICICLO
1196;221;SPIDER
1202;223;CALIFORNIA
1205;223;LE MANS
1207;225;BRUTALE
1209;226;BIG FORCE
1210;226;BLACK STAR
1213;226;FENIX GOLD
1216;226;HALLEY
1218;226;JURASIC
1224;226;SPYDER
1225;226;STREET
1231;228;BR III
1233;22;ELYSEO
1234;22;SCOOTELEC
1235;22;SPEEDAKE
1236;22;SPEEDFIGHT
1238;22;TREKKER
1239;22;VIVACITY
1240;22;ZENITH
1241;229;BEVERLY
1242;229;LIBERTY
1245;229;RUNNER
1248;230;BLACK JACK
1249;230;FENIX GOLD
1251;230;SPYDER
1254;231;PASSING
1255;132;RACING 200
1256;232;SCROSS
1260;140;HUNTER
1265;140;STX MOTARD
1266;140;SUPER FIFTY
1267;140;VBLADE
1269;140;WEB EVO
1270;59;ADDRESS
1272;59;BANDIT 250
1273;59;BOULEVARD
1274;59;BURGMAN AN
1278;59;FREEWIND 650
1279;59;GS 500
1282;59;INTRUDER
1283;59;KATANA
1284;59;LETS II
1286;59;MARAUDER GZ
1288;59;RM 250
1289;59;SAVAGE
1291;59;VX 800
1292;233;TRIMOTO
1296;234;STAR 50
1297;234;WORK 125
1298;234;SKY 125
1299;234;FLY 135
1301;148;ADVENTURER
1302;148;BONNEVILLE
1303;148;DAYTONA
1304;148;LEGEND
1305;148;ROCKET
1306;148;SCRAMBLER
1307;148;SPEED TRIPLE
1308;148;SPRINT
1309;148;STREET TRIPLE
1310;148;THRUXTON
1311;148;THUNDERBIRD
1313;148;TRIDENT
1314;148;TROPHY
1315;148;TT-600
1316;235;REBELLIAN
1317;235;TRITON
1318;235;VTHUNDER
1328;135;MAJESTY
1331;135;NEO AT
1333;135;RD 135
1335;135;ROYAL STAR
1338;135;TDR 180
1341;135;V-MAX 1200
1342;135;WR 250F
1345;135;XT 660R
1346;135;XTZ 125
